filename,Sep,Start.time,Start.azimuth,End.time,End.azimuth,detection,sig.ailiased
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,0,0.3,-150,2.4,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,1,0.5,30,9,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,2,1.1,-150,3.4,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,3,6.5,-150,9.4,-145,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,4,13.7,30,20.8,45,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,5,19.5,50,22,35,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,6,20.5,55,24.2,100,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,7,22.9,130,27,125,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,8,26.1,120,28.8,115,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,9,28.7,120,39.6,170,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,10,37.9,140,40,140,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,11,38.3,165,40.8,160,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,12,43.7,165,51,165,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,13,49.9,160,52.2,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,14,51.3,175,53.4,175,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,15,53.3,-150,56.6,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,16,58.9,-150,61.4,-155,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,17,62.7,-150,65,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,18,63.9,-145,66.6,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,19,68.7,-60,71,-55,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,20,69.5,-170,71.6,-170,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,21,69.7,-60,72.4,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-1000Hz.wav,22,73.9,-65,81,-60,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,0,-0.3,30,7.4,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,1,5.5,-150,8,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,2,6.1,30,8.6,30,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,3,9.9,40,12,40,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,4,13.1,30,21.6,55,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,5,19.9,75,25.4,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,6,24.7,120,27.2,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,7,28.1,120,35.2,120,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,8,33.9,120,38.2,155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,9,37.9,160,40.2,160,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,10,39.5,165,41.8,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,11,43.1,165,50.2,165,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,12,49.3,170,52.4,-170,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,13,51.5,-140,53.6,-140,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,14,52.7,-150,54.8,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,15,54.5,-150,56.6,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,16,58.1,-150,66.6,-145,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,17,65.9,-145,68,-145,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,18,68.3,-55,72,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,19,71.1,-60,73.6,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-100Hz.wav,20,73.1,-60,79.6,-60,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,0,0.1,30,8.4,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,1,0.7,-150,2.8,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,2,6.1,-150,9.2,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,3,13.7,-150,15.8,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,4,13.9,30,20.8,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,5,19.3,55,21.8,60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,6,20.1,30,22.4,35,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,7,21.3,65,24.6,95,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,8,23.1,120,26.2,125,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,9,24.9,120,28.4,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,10,27.5,125,29.6,125,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,11,28.7,120,35.8,120,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,12,36.5,125,42.4,160,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,13,38.1,155,40.2,155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,14,41.7,155,43.8,155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,15,43.7,165,50.8,160,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,16,49.5,160,52,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,17,52.7,-150,55,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,18,58.5,-150,66.8,-150,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,19,58.9,30,61,30,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,20,69.1,-60,73.2,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-2000Hz.wav,21,73.5,-60,80.4,-60,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,0,-0.3,30,7.8,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,1,-0.1,-150,2,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,2,5.3,-150,7.4,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,3,6.1,-150,8.2,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,4,7.1,55,9.2,55,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,5,12.9,30,20,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,6,18.9,50,22,40,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,7,20.1,85,26,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,8,25.3,115,28,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,9,27.3,120,34.4,120,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,10,33.1,125,38,150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,11,36.7,155,39,155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,12,37.9,150,40.2,135,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,13,38.3,165,41.6,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,14,42.3,-45,44.4,-45,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,15,42.5,165,49.4,165,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,16,52.5,-150,55.2,-155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,17,54.7,-155,56.8,-155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,18,57.1,-150,64.4,-150,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,19,57.3,30,59.4,30,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,20,60.3,30,62.4,30,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,21,63.1,-150,65.2,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,22,68.7,-60,71.6,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,23,70.3,-60,72.8,-55,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,24,72.1,-60,79,-60,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-4000Hz.wav,25,72.3,-170,74.4,-170,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,0,0.5,30,9.6,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,1,6.7,-150,9,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,2,14.3,30,21.4,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,3,20.3,30,23,50,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,4,20.7,55,26.4,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,5,25.3,125,28,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,6,28.1,120,30.2,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,7,29.3,120,31.4,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,8,30.3,120,33.2,120,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,9,35.1,120,39.4,160,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,10,38.3,160,42.2,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,11,38.9,165,41,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,12,41.1,165,43.4,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,13,44.3,165,48.8,165,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,14,48.5,165,52.2,160,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,15,51.1,180,53.2,180,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,16,53.5,-150,56,-145,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,17,56.3,-150,58.6,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,18,59.3,-150,66.4,-150,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,19,65.7,-165,69,-135,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,20,70.3,-55,73.8,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,21,72.7,-60,74.8,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,22,74.3,-65,79,-60,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-400Hz.wav,23,78.9,-65,81,-65,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,0,0.3,30,9,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,1,6.5,-150,8.8,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,2,13.7,30,20.8,30,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,3,19.5,30,24.8,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,4,23.9,130,28,125,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,5,26.7,120,29,120,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,6,28.9,120,35.8,120,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,7,35.3,135,38.2,145,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,8,37.1,165,39.4,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,9,37.5,145,39.6,145,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,10,38.3,150,40.4,150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,11,38.7,170,41,170,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,12,43.3,165,50.8,165,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,13,49.7,165,51.8,165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,14,50.5,160,53,175,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,15,51.3,-165,53.6,-165,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,16,53.5,-155,56,-150,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,17,58.7,-155,65.8,-150,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,18,64.9,-150,67.6,-140,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,19,67.1,135,69.2,135,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,20,67.9,-150,71.6,160,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,21,70.3,180,75.2,-135,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,22,74.1,-60,77.6,-60,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-500Hz.wav,23,76.7,-60,81,-60,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,0,0.5,-155,3,-155,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,1,1.1,35,8.8,35,y,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,2,2.5,70,4.6,70,n,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,3,6.5,-155,8.6,-155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,4,14.1,35,16.2,35,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,5,14.9,-160,17,-160,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,6,15.1,35,17.2,35,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,7,15.9,-160,18.6,-160,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,8,18.5,35,20.6,35,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,9,19.1,-155,21.2,-155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,10,20.5,35,22.6,35,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,11,22.3,90,24.4,90,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,12,23.3,125,25.4,125,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,13,24.1,120,26.8,130,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,14,25.5,120,27.8,115,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,15,28.9,15,36,15,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,16,32.5,-130,35.8,-135,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,17,34.3,115,37.8,140,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,18,36.3,165,39.8,155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,19,39.5,160,41.6,160,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,20,43.9,160,51,160,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,21,45.5,-50,48.2,-50,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,22,47.1,-50,50.4,-50,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,23,50.3,160,53.4,155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,24,52.1,175,55,175,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,25,53.7,-165,56.8,-155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,26,56.5,-155,58.6,-155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,27,57.9,-155,60,-155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,28,58.7,-155,66,-155,,
localized_202305LocalisationTest-1mIndoors-NewCaseOff-6000Hz.wav,29,59.3,40,61.4,40,,
